CountryName,E3_Fiscal measures,E4_International support,H4_Emergency investment in healthcare,H5_Investment in vaccines,ConfirmedCases,ConfirmedDeaths,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,total_tests,total_tests_per_thousand,tests_per_case,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,FemaleLeader,DaysWithoutCase,DaysWithoutTest,DaysWithoutGovResponse
New Zealand,11500000000.0,0.0,297228142.0,23870000.0,1387.0,22.0,39.83440816326535,43.900163265306084,44.389428571428574,43.74824489795918,47.90816326530612,758027.0,157.194,28707.0,4822233.0,18.206,37.9,9.72,36085.843,0.0,0.0,2.61,82.29,1,58,58,21
Nicaragua,0.0,0.0,0.0,0.0,4494.0,137.0,9.727918367346932,12.995755102040773,8.923811475409819,10.54815573770491,0.0,0.0,0.0,0.0,6624554.0,51.667,27.3,3.519,5321.444,3.2,0.0,0.9,74.48,0,78,51,51
Niger,140000000.0,0.0,13950000.0,0.0,1176.0,69.0,23.967387755102138,28.1008163265305,23.42689795918373,24.627346938775517,16.836734693877553,0.0,0.0,0.0,24206636.0,16.955,15.1,1.378,926.0,44.5,8.978,0.3,62.42,0,80,78,72
Nigeria,3270000000.0,34000000000.0,272869480.0,0.0,53865.0,1013.0,52.19073770491807,58.480491803278596,44.802581967213065,52.61036885245905,1.8442622950819672,402070.0,1.95,13.786,206139587.0,209.588,18.1,1.4469999999999998,5338.4540000000015,0.0,41.949,0.0,54.69,0,58,32,21
Norway,9729500000.0,1438898.7,14115450.0,190372000.0,10543.0,264.0,37.04024590163943,48.323565573770466,41.745245901639315,38.31639344262304,60.60450819672131,664770.0,122.623,512.75,5421242.0,14.462,39.7,10.813,64800.057,0.2,0.0,3.6,82.4,1,57,56,30
Oman,20000000000.0,0.0,26007802.0,0.0,85544.0,677.0,64.55204081632644,68.41751020408168,59.970244897959155,64.38220408163275,35.714285714285715,0.0,0.0,3.606,5106622.0,14.98,30.7,1.53,37960.709,0.0,97.4,1.6,77.86,0,55,31,19
Pakistan,7561436640.0,163749932.5,200000000.0,0.0,295849.0,6294.0,53.82730612244911,58.343755102040966,50.98053061224496,53.03220408163264,39.69387755102041,2621146.0,11.866,56.868,220892331.0,255.573,23.5,2.78,5034.708,4.0,59.607,0.6,67.27,0,57,55,23
Palestine,0.0,0.0,0.0,0.0,29063.0,166.0,63.32359183673477,67.08424489795931,52.75502040816351,57.373102040816136,27.3469387755102,0.0,0.0,0.0,5101416.0,778.202,20.4,1.726,4449.898,1.0,0.0,0.0,74.05,0,65,65,52
Panama,1372000000.0,0.0,400000000.0,0.0,92065.0,1995.0,60.75526748971193,65.45872427983556,53.51329218107002,57.305596707819106,32.66460905349794,323049.0,74.87100000000002,16.265,4314768.0,55.133,29.7,5.03,22267.037,2.2,0.0,2.3,78.51,0,69,69,20
Papua New Guinea,1652000000.0,0.0,20000000.0,0.0,459.0,5.0,41.20138775510213,48.15889795918358,43.43240816326524,44.612244897959144,36.938775510204074,0.0,0.0,0.0,8947027.0,18.22,22.6,2.142,3823.194,0.0,0.0,0.0,64.5,0,80,86,26
